title,date,specimenId,species,sex,abdomenStatus,morphSpecies,morphSex,morphAbdomenStatus,morphNotes,country,district,site,image,yolovConfidenceLevel,imageZoomed,status,latitude,longitude,cityName,deviceInUse,phoneInUse,deviceId,localId,collectionMethod,createdAt,hardware,isCompleted,name,notes,updatedAt
Test44,9/1/23,21,Other,Female,G - Gravid,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-10-49.635-835aaf65dbb3fbc1-2-6.jpg,0.61,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:06,Human Landing Catch (HLC),2023-01-10T05:11:47.052Z,VectorCam V3,FALSE,Test,,2023-01-10T05:11:47.052Z
Test44,9/1/23,22,Other,Female,G - Gravid,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-10-49.693-835aaf65dbb3fbc1-2-7.jpg,0.69,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:07,Human Landing Catch (HLC),2023-01-10T05:11:47.720Z,VectorCam V3,FALSE,Test,,2023-01-10T05:11:47.720Z
Test44,9/1/23,23,Other,Female,G - Gravid,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-10-49.715-835aaf65dbb3fbc1-2-8.jpg,0.67,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:08,Human Landing Catch (HLC),2023-01-10T05:11:47.452Z,VectorCam V3,FALSE,Test,,2023-01-10T05:11:47.452Z
Test44,9/1/23,24,Other,Female,G - Gravid,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-10-49.742-835aaf65dbb3fbc1-2-9.jpg,0.57,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:09,Human Landing Catch (HLC),2023-01-10T05:11:47.484Z,VectorCam V3,FALSE,Test,,2023-01-10T05:11:47.484Z
Test44,9/1/23,25,Other,Female,G - Gravid,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-11-46.637-835aaf65dbb3fbc1-2-10.jpg,0.72,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:10,Human Landing Catch (HLC),2023-01-10T05:12:51.494Z,VectorCam V3,FALSE,Test,,2023-01-10T05:12:51.494Z
Test44,9/1/23,26,Other,Female,G - Gravid,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-11-47.865-835aaf65dbb3fbc1-2-11.jpg,0.71,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:11,Human Landing Catch (HLC),2023-01-10T05:12:53.987Z,VectorCam V3,FALSE,Test,,2023-01-10T05:12:53.987Z
Test44,9/1/23,27,Anopheles other,Female,UF - Unfed,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-11-48.271-835aaf65dbb3fbc1-2-12.jpg,0.61,Yes,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:12,Human Landing Catch (HLC),2023-01-10T05:12:53.553Z,VectorCam V3,FALSE,Test,,2023-01-10T05:12:53.553Z
Test44,9/1/23,28,Other,Female,UF - Unfed,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-11-48.367-835aaf65dbb3fbc1-2-13.jpg,0.66,Yes,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:13,Human Landing Catch (HLC),2023-01-10T05:12:50.065Z,VectorCam V3,FALSE,Test,,2023-01-10T05:12:50.065Z
Test44,9/1/23,29,Other,Female,UF - Unfed,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-11-48.637-835aaf65dbb3fbc1-2-14.jpg,0.74,Yes,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:14,Human Landing Catch (HLC),2023-01-10T05:12:52.885Z,VectorCam V3,FALSE,Test,,2023-01-10T05:12:52.885Z
Test44,9/1/23,30,Anopheles other,Female,UF - Unfed,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-53-27.475-835aaf65dbb3fbc1-2-15.jpg,0.74,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:15,Human Landing Catch (HLC),2023-01-10T05:31:08.566Z,VectorCam V3,FALSE,Test,,2023-01-10T05:54:47.648Z
